City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
148,Mayo,90,US,1594694766,74.0,38.89,-76.51,78.8,0.58
149,Bariloche,40,AR,1594694706,73.0,-41.15,-71.31,26.6,4.7
150,Hobart,75,AU,1594694766,70.0,-42.88,147.33,50.0,5.82
151,Puerto Ayora,21,EC,1594694766,92.0,-0.74,-90.35,68.0,6.53
152,Bengkulu,100,ID,1594694029,69.0,-3.8,102.27,82.42,3.89
153,Abhā,0,SA,1594694766,40.0,18.22,42.51,69.8,5.82
154,Great Falls,1,US,1594694766,28.0,47.5,-111.3,68.0,12.75
155,Okhotsk,10,RU,1594694513,60.0,59.38,143.3,69.01,6.15
156,Salalah,90,OM,1594694767,94.0,17.02,54.09,80.6,9.17
157,Tiarei,75,PF,1594694521,94.0,-17.53,-149.33,77.0,5.82
158,Caçu,50,BR,1594694767,54.0,-18.56,-51.13,75.24,0.38
159,Carnarvon,75,AU,1594694767,73.0,-24.87,113.63,73.4,12.75
160,La Rioja,70,ES,1594694767,72.0,42.25,-2.5,59.0,9.17
161,Bredasdorp,99,ZA,1594694181,93.0,-34.53,20.04,46.4,13.87
162,Hong Kong,25,HK,1594694149,66.0,22.29,114.16,93.99,5.99
163,Nanortalik,100,GL,1594694767,93.0,60.14,-45.24,43.84,3.87
164,Deer Lake,92,CA,1594694767,92.0,49.17,-57.43,62.38,3.29
165,Médéa,40,DZ,1594694767,94.0,36.26,2.75,73.4,3.36
166,Qūchān,0,IR,1594694768,26.0,37.11,58.51,77.0,2.19
167,Youghal,75,IE,1594694768,81.0,51.95,-7.85,55.0,17.22
168,Saskylakh,22,RU,1594694321,41.0,71.92,114.08,72.64,12.46
169,Linjiang,83,CN,1594694768,45.0,41.81,126.91,84.54,1.57
170,Richards Bay,0,ZA,1594694037,77.0,-28.78,32.04,64.89,16.15
171,Sirte,3,LY,1594694768,86.0,31.21,16.59,74.62,7.23
172,Namatanai,100,PG,1594694768,70.0,-3.67,152.43,84.13,6.46
173,Whitehorse,75,CA,1594694243,31.0,60.72,-135.05,64.4,9.17
174,Yashalta,100,RU,1594694768,80.0,46.34,42.28,70.57,11.3
175,Muncar,17,ID,1594694769,80.0,-8.43,114.33,81.1,9.53
176,Ambon City,40,ID,1594694769,94.0,-3.7,128.18,77.0,6.93
177,Yakeshi,99,CN,1594694769,41.0,49.28,120.73,83.93,8.5
178,Mbandaka,87,CD,1594694769,96.0,0.05,18.26,69.08,2.82
179,Naze,75,JP,1594694189,70.0,28.37,129.48,89.6,12.75
180,Manggar,100,ID,1594694769,80.0,-2.88,108.27,82.2,12.91
181,Vestmannaeyjar,100,IS,1594694191,88.0,63.44,-20.27,51.6,8.21
182,Laguna de Perlas,8,NI,1594694770,88.0,12.34,-83.67,79.09,8.81
183,Ust-Maya,54,RU,1594694546,54.0,60.42,134.53,85.5,0.81
184,Mar del Plata,0,AR,1594694167,56.0,-38.0,-57.56,41.0,13.87
185,Karpogory,100,RU,1594694770,92.0,64.0,44.45,54.5,10.09
186,Saint George,1,US,1594694177,10.0,37.1,-113.58,105.8,19.46
187,Loreto,0,MX,1594694770,36.0,22.27,-101.97,69.93,17.52
188,Upernavik,99,GL,1594694185,89.0,72.79,-56.15,39.99,19.71
189,Bluff,81,NZ,1594694171,74.0,-46.6,168.33,48.67,13.22
190,Ilawe,94,NG,1594694771,97.0,7.87,4.43,69.46,6.31
191,Limerick,75,IE,1594694771,87.0,52.66,-8.62,53.6,8.05
192,Comodoro Rivadavia,0,AR,1594694771,64.0,-45.87,-67.5,33.8,9.17
193,Antipovka,29,RU,1594694771,41.0,49.83,45.31,79.97,6.73
194,Synya,2,RU,1594694771,60.0,65.37,58.04,57.65,6.06
195,Baykit,47,RU,1594694771,40.0,61.67,96.37,76.55,7.25
196,Landau,95,DE,1594694771,64.0,49.21,8.11,59.0,3.0
197,Yenagoa,100,NG,1594694513,92.0,4.92,6.26,74.34,4.97
198,Ancud,100,CL,1594694113,100.0,-41.87,-73.82,39.0,2.24
199,Voskresenskoye,95,RU,1594694771,97.0,56.84,45.43,70.07,3.58
200,Caravelas,0,BR,1594694211,91.0,-17.71,-39.25,69.87,4.99
201,Kiyasovo,0,RU,1594694772,68.0,56.35,53.12,75.0,1.99
